,x,y
L,0.0007099960555774221,-0.5722980855768267
M,0.4048738618118788,-0.21195320051999422
border1,1.0,-1.1110987655715832e-05
border2,-1.0,-1.1110987655715832e-05
border3,5.555524691613911e-06,-1.0
border4,5.555524691613911e-06,1.0
